DateTimeIndex,Month,Year,Subsector,Sales
2013-09-01,Sep,2013,Miscellaneous Store Retailers,15961
2013-09-01,Sep,2013,Motor Vehicle and Parts Dealers,280736
2013-09-01,Sep,2013,Nonstore Retailers,61822
2013-09-01,Sep,2013,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",11828
2013-09-01,Sep,2013,Unknown,2064270
2013-10-01,Oct,2013,Building Material and Garden Equipment and Supplies Dealers,51523
2013-10-01,Oct,2013,Clothing and Clothing Accessories Stores,52932
2013-10-01,Oct,2013,Electronics and Appliance Stores,16056
2013-10-01,Oct,2013,Food and Beverage Retailers,152075
2013-10-01,Oct,2013,Food Services and Drinking Places,126440
2013-10-01,Oct,2013,Furniture and Home Furnishings Stores,36047
2013-10-01,Oct,2013,Gasoline Stations,46510
2013-10-01,Oct,2013,General Merchandise Stores,159276
2013-10-01,Oct,2013,Health and Personal Care Stores,44244
2013-10-01,Oct,2013,Miscellaneous Store Retailers,17755
2013-10-01,Oct,2013,Motor Vehicle and Parts Dealers,292966
2013-10-01,Oct,2013,Nonstore Retailers,66512
2013-10-01,Oct,2013,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",11267
2013-10-01,Oct,2013,Unknown,2170887
2013-11-01,Nov,2013,Building Material and Garden Equipment and Supplies Dealers,47057
2013-11-01,Nov,2013,Clothing and Clothing Accessories Stores,59847
2013-11-01,Nov,2013,Electronics and Appliance Stores,20690
2013-11-01,Nov,2013,Food and Beverage Retailers,154687
2013-11-01,Nov,2013,Food Services and Drinking Places,124966
2013-11-01,Nov,2013,Furniture and Home Furnishings Stores,41191
2013-11-01,Nov,2013,Gasoline Stations,42391
2013-11-01,Nov,2013,General Merchandise Stores,181716
2013-11-01,Nov,2013,Health and Personal Care Stores,42416
2013-11-01,Nov,2013,Miscellaneous Store Retailers,16223
2013-11-01,Nov,2013,Motor Vehicle and Parts Dealers,281840
2013-11-01,Nov,2013,Nonstore Retailers,75509
2013-11-01,Nov,2013,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",14159
2013-11-01,Nov,2013,Unknown,2253844
2013-12-01,Dec,2013,Building Material and Garden Equipment and Supplies Dealers,43682
2013-12-01,Dec,2013,Clothing and Clothing Accessories Stores,82301
2013-12-01,Dec,2013,Electronics and Appliance Stores,25984
2013-12-01,Dec,2013,Food and Beverage Retailers,162193
2013-12-01,Dec,2013,Food Services and Drinking Places,129610
2013-12-01,Dec,2013,Furniture and Home Furnishings Stores,45623
2013-12-01,Dec,2013,Gasoline Stations,43166
2013-12-01,Dec,2013,General Merchandise Stores,222066
2013-12-01,Dec,2013,Health and Personal Care Stores,48337
2013-12-01,Dec,2013,Miscellaneous Store Retailers,18336
2013-12-01,Dec,2013,Motor Vehicle and Parts Dealers,294406
2013-12-01,Dec,2013,Nonstore Retailers,100881
2013-12-01,Dec,2013,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",21257
2013-12-01,Dec,2013,Unknown,2590304
2014-01-01,Jan,2014,Building Material and Garden Equipment and Supplies Dealers,39485
2014-01-01,Jan,2014,Clothing and Clothing Accessories Stores,40184
2014-01-01,Jan,2014,Electronics and Appliance Stores,15756
2014-01-01,Jan,2014,Food and Beverage Retailers,154157
2014-01-01,Jan,2014,Food Services and Drinking Places,119718
2014-01-01,Jan,2014,Furniture and Home Furnishings Stores,32859
2014-01-01,Jan,2014,Gasoline Stations,42651
2014-01-01,Jan,2014,General Merchandise Stores,142560
2014-01-01,Jan,2014,Health and Personal Care Stores,44228
2014-01-01,Jan,2014,Miscellaneous Store Retailers,14138
2014-01-01,Jan,2014,Motor Vehicle and Parts Dealers,263344
2014-01-01,Jan,2014,Nonstore Retailers,71562
2014-01-01,Jan,2014,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",11168
2014-01-01,Jan,2014,Unknown,2003379
2014-02-01,Feb,2014,Building Material and Garden Equipment and Supplies Dealers,37653
2014-02-01,Feb,2014,Clothing and Clothing Accessories Stores,45763
2014-02-01,Feb,2014,Electronics and Appliance Stores,15716
2014-02-01,Feb,2014,Food and Beverage Retailers,141841
2014-02-01,Feb,2014,Food Services and Drinking Places,119193
2014-02-01,Feb,2014,Furniture and Home Furnishings Stores,32786
2014-02-01,Feb,2014,Gasoline Stations,40673
2014-02-01,Feb,2014,General Merchandise Stores,147276
2014-02-01,Feb,2014,Health and Personal Care Stores,41374
2014-02-01,Feb,2014,Miscellaneous Store Retailers,14112
2014-02-01,Feb,2014,Motor Vehicle and Parts Dealers,280106
2014-02-01,Feb,2014,Nonstore Retailers,66381
2014-02-01,Feb,2014,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",9961
2014-02-01,Feb,2014,Unknown,1978576
2014-03-01,Mar,2014,Building Material and Garden Equipment and Supplies Dealers,47288
2014-03-01,Mar,2014,Clothing and Clothing Accessories Stores,53409
2014-03-01,Mar,2014,Electronics and Appliance Stores,16328
2014-03-01,Mar,2014,Food and Beverage Retailers,154203
2014-03-01,Mar,2014,Food Services and Drinking Places,137728
2014-03-01,Mar,2014,Furniture and Home Furnishings Stores,36104
2014-03-01,Mar,2014,Gasoline Stations,46392
2014-03-01,Mar,2014,General Merchandise Stores,162651
2014-03-01,Mar,2014,Health and Personal Care Stores,44514
2014-03-01,Mar,2014,Miscellaneous Store Retailers,15145
2014-03-01,Mar,2014,Motor Vehicle and Parts Dealers,338038
2014-03-01,Mar,2014,Nonstore Retailers,71467
2014-03-01,Mar,2014,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",11684
2014-03-01,Mar,2014,Unknown,2232740
2014-04-01,Apr,2014,Building Material and Garden Equipment and Supplies Dealers,57319
2014-04-01,Apr,2014,Clothing and Clothing Accessories Stores,54102
2014-04-01,Apr,2014,Electronics and Appliance Stores,14406
2014-04-01,Apr,2014,Food and Beverage Retailers,153465
2014-04-01,Apr,2014,Food Services and Drinking Places,132330
2014-04-01,Apr,2014,Furniture and Home Furnishings Stores,34299
2014-04-01,Apr,2014,Gasoline Stations,47362
2014-04-01,Apr,2014,General Merchandise Stores,159150
2014-04-01,Apr,2014,Health and Personal Care Stores,44406
2014-04-01,Apr,2014,Miscellaneous Store Retailers,15155
2014-04-01,Apr,2014,Motor Vehicle and Parts Dealers,326776
2014-04-01,Apr,2014,Nonstore Retailers,68043
2014-04-01,Apr,2014,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",11558
2014-04-01,Apr,2014,Unknown,2230806
2014-05-01,May,2014,Building Material and Garden Equipment and Supplies Dealers,63587
2014-05-01,May,2014,Clothing and Clothing Accessories Stores,57156
2014-05-01,May,2014,Electronics and Appliance Stores,15334
2014-05-01,May,2014,Food and Beverage Retailers,163446
2014-05-01,May,2014,Food Services and Drinking Places,141709
2014-05-01,May,2014,Furniture and Home Furnishings Stores,36727
2014-05-01,May,2014,Gasoline Stations,50663
2014-05-01,May,2014,General Merchandise Stores,171594
2014-05-01,May,2014,Health and Personal Care Stores,45560
2014-05-01,May,2014,Miscellaneous Store Retailers,17003
2014-05-01,May,2014,Motor Vehicle and Parts Dealers,346468
2014-05-01,May,2014,Nonstore Retailers,67660
2014-05-01,May,2014,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",12046
2014-05-01,May,2014,Unknown,2375378
2014-06-01,Jun,2014,Building Material and Garden Equipment and Supplies Dealers,58384
2014-06-01,Jun,2014,Clothing and Clothing Accessories Stores,50488
2014-06-01,Jun,2014,Electronics and Appliance Stores,15180
2014-06-01,Jun,2014,Food and Beverage Retailers,156205
2014-06-01,Jun,2014,Food Services and Drinking Places,133828
2014-06-01,Jun,2014,Furniture and Home Furnishings Stores,35047
2014-06-01,Jun,2014,Gasoline Stations,48705
2014-06-01,Jun,2014,General Merchandise Stores,162522
2014-06-01,Jun,2014,Health and Personal Care Stores,44166
2014-06-01,Jun,2014,Miscellaneous Store Retailers,15813
2014-06-01,Jun,2014,Motor Vehicle and Parts Dealers,321622
2014-06-01,Jun,2014,Nonstore Retailers,66592
2014-06-01,Jun,2014,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",12153
2014-06-01,Jun,2014,Unknown,2243119
2014-07-01,Jul,2014,Building Material and Garden Equipment and Supplies Dealers,56936
2014-07-01,Jul,2014,Clothing and Clothing Accessories Stores,52750
2014-07-01,Jul,2014,Electronics and Appliance Stores,15768
2014-07-01,Jul,2014,Food and Beverage Retailers,162283
2014-07-01,Jul,2014,Food Services and Drinking Places,136363
2014-07-01,Jul,2014,Furniture and Home Furnishings Stores,37180
2014-07-01,Jul,2014,Gasoline Stations,49884
2014-07-01,Jul,2014,General Merchandise Stores,161892
2014-07-01,Jul,2014,Health and Personal Care Stores,44995
2014-07-01,Jul,2014,Miscellaneous Store Retailers,16670
2014-07-01,Jul,2014,Motor Vehicle and Parts Dealers,339832
2014-07-01,Jul,2014,Nonstore Retailers,67967
2014-07-01,Jul,2014,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",12208
2014-07-01,Jul,2014,Unknown,2287349
2014-08-01,Aug,2014,Building Material and Garden Equipment and Supplies Dealers,52902
2014-08-01,Aug,2014,Clothing and Clothing Accessories Stores,57980
2014-08-01,Aug,2014,Electronics and Appliance Stores,16352
2014-08-01,Aug,2014,Food and Beverage Retailers,162019
2014-08-01,Aug,2014,Food Services and Drinking Places,140024
2014-08-01,Aug,2014,Furniture and Home Furnishings Stores,38543
2014-08-01,Aug,2014,Gasoline Stations,49442
2014-08-01,Aug,2014,General Merchandise Stores,172221
2014-08-01,Aug,2014,Health and Personal Care Stores,44736
2014-08-01,Aug,2014,Miscellaneous Store Retailers,17858
2014-08-01,Aug,2014,Motor Vehicle and Parts Dealers,347308
2014-08-01,Aug,2014,Nonstore Retailers,67982
2014-08-01,Aug,2014,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",15348
